Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/06/26,2019/06/26 11:30,2923.66,26610.78,7937.05,133.73,54.93,189.43,260553,85.55,87.10,,,,,,,
2019/06/26,2019/06/26 12:30,2923.23,26616.72,7936.27,133.71,55.11,188.93,168037,87.16,88.10,,,,,,,
2019/06/26,2019/06/26 13:30,2919.31,26601.49,7920.00,133.13,55.02,188.12,168055,88.10,88.19,,,,,,,
2019/06/26,2019/06/26 14:30,2918.21,26594.87,7916.17,132.61,54.91,187.83,94507,88.19,87.32,,,,,,,
2019/06/26,2019/06/26 15:30,2916.80,26588.10,7912.54,132.79,55.03,187.84,67327,87.32,87.14,,,,,,,
2019/06/26,2019/06/26 16:00,2913.78,26536.82,7909.97,132.67,54.89,187.66,1341615,87.15,86.33,,,,,,,
2019/06/27,2019/06/27 10:30,2925.73,26527.34,7962.30,133.18,54.87,189.39,531372,86.33,89.77,,,,,,,
2019/06/27,2019/06/27 11:30,2919.10,26479.56,7937.98,132.36,54.38,188.35,482182,89.76,91.40,,,,,,,
2019/06/27,2019/06/27 12:30,2925.66,26552.43,7960.55,132.86,54.51,189.23,135240,91.40,91.22,,,,,,,
2019/06/27,2019/06/27 13:30,2927.80,26586.50,7965.45,132.89,54.37,189.14,175402,91.22,91.70,,,,,,,
2019/06/27,2019/06/27 14:30,2929.03,26593.85,7975.49,133.14,54.12,189.39,121788,91.91,91.78,,,,,,,
2019/06/27,2019/06/27 15:30,2924.67,26552.42,7965.80,132.91,53.87,188.92,194431,91.78,90.19,,,,,,,
2019/06/27,2019/06/27 16:00,2924.92,26526.58,7967.76,132.89,54.05,189.50,1371095,90.31,90.27,,,,,,,
2019/06/28,2019/06/28 10:30,2929.90,26545.76,7974.15,132.40,53.51,190.23,702686,90.27,88.55,,,,,,,
2019/06/28,2019/06/28 11:30,2933.07,26580.97,7986.04,132.28,53.19,191.75,362927,88.55,88.07,,,,,,,
2019/06/28,2019/06/28 12:30,2938.97,26621.46,8006.17,132.78,53.00,192.26,186631,88.07,88.54,,,,,,,
2019/06/28,2019/06/28 13:30,2936.26,26588.17,7992.07,132.27,52.51,191.74,86991,88.56,88.36,,,,,,,
2019/06/28,2019/06/28 14:30,2935.01,26578.33,7989.88,132.12,52.46,191.97,105829,88.36,88.39,,,,,,,
2019/06/28,2019/06/28 15:30,2931.32,26529.16,7980.57,131.97,52.57,191.97,146024,88.39,89.00,,,,,,,
2019/06/28,2019/06/28 16:00,2941.55,26599.96,8006.24,132.70,53.08,193.00,1625894,89.05,88.79,,,,,,,
2019/07/01,2019/07/01 10:30,2966.67,26776.27,8103.08,134.71,52.65,194.02,1183138,88.79,85.72,,,,,,,
2019/07/01,2019/07/01 11:30,2962.84,26727.24,8094.18,134.67,53.10,193.42,433950,85.69,85.74,,,,,,,
2019/07/01,2019/07/01 12:30,2960.53,26695.54,8087.76,134.38,53.04,193.09,479981,85.80,86.19,,,,,,,
2019/07/01,2019/07/01 13:30,2956.62,26655.97,8075.45,134.16,53.08,192.59,285706,86.18,87.03,,,,,,,
2019/07/01,2019/07/01 14:30,2952.35,26618.29,8059.84,133.79,52.99,192.60,215087,87.03,86.69,,,,,,,
2019/07/01,2019/07/01 15:30,2961.06,26695.88,8085.15,134.16,53.09,193.68,157437,86.67,86.00,,,,,,,
2019/07/01,2019/07/01 16:00,2964.33,26717.43,8091.16,134.40,53.09,193.00,2514533,86.00,86.86,,,,,,,
2019/07/02,2019/07/02 10:30,2967.67,26729.86,8090.46,134.63,54.02,194.34,332213,86.86,84.67,,,,,,,
2019/07/02,2019/07/02 11:30,2964.30,26708.99,8084.63,134.81,53.73,194.26,215786,84.67,85.50,,,,,,,
2019/07/02,2019/07/02 12:30,2958.74,26656.98,8071.27,134.55,53.82,193.72,68258,85.56,85.37,,,,,,,
2019/07/02,2019/07/02 13:30,2962.48,26695.04,8076.24,134.79,53.88,193.64,69130,85.37,85.08,,,,,,,
2019/07/02,2019/07/02 14:30,2966.21,26723.21,8085.17,134.83,54.07,194.15,118516,84.89,84.51,,,,,,,
2019/07/02,2019/07/02 15:30,2966.77,26724.27,8090.21,134.98,54.17,194.67,127331,84.51,84.65,,,,,,,
2019/07/02,2019/07/02 16:00,2972.98,26786.68,8109.09,135.30,54.13,195.00,935205,84.65,85.13,,,,,,,
2019/07/03,2019/07/03 10:30,2984.75,26865.65,8145.55,135.84,54.41,196.75,350512,85.13,87.16,,,,,,,
2019/07/03,2019/07/03 11:30,2986.43,26873.39,8146.71,135.90,54.74,196.44,463641,87.16,88.57,,,,,,,
2019/07/03,2019/07/03 12:30,2992.94,26939.83,8159.72,136.05,55.11,197.06,490097,88.62,89.82,,,,,,,
2019/07/03,2019/07/03 13:30,2995.82,26966.00,8170.23,136.17,55.12,197.20,228475,89.81,90.45,,,,,,,
2019/07/03,2019/07/03 14:30,,,,136.17,55.12,197.20,5524,90.45,90.45,,,,,,,
